id,county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
286,Shasta,2008.0,31.0,12,0,2020-10-29T00:00:00
287,Alpine,4.0,0.0,0,0,2020-10-29T00:00:00
288,Plumas,69.0,0.0,2,0,2020-10-29T00:00:00
289,Kern,33460.0,422.0,36,2,2020-10-29T00:00:00
290,Lassen,772.0,1.0,1,0,2020-10-29T00:00:00
291,Mariposa,78.0,2.0,0,0,2020-10-29T00:00:00
292,Stanislaus,17790.0,400.0,25,1,2020-10-29T00:00:00
293,Ventura,14486.0,166.0,77,0,2020-10-29T00:00:00
294,Mendocino,1058.0,21.0,21,0,2020-10-29T00:00:00
295,Madera,4970.0,76.0,16,0,2020-10-29T00:00:00
296,Unassigned,2.0,0.0,0,0,2020-10-29T00:00:00
297,Sutter,1852.0,12.0,12,0,2020-10-29T00:00:00
298,Santa Cruz,2850.0,25.0,14,0,2020-10-29T00:00:00
299,Kings,8502.0,83.0,16,0,2020-10-29T00:00:00
300,Tuolumne,279.0,6.0,2,1,2020-10-29T00:00:00
301,Inyo,238.0,15.0,7,0,2020-10-28T00:00:00
302,Colusa,551.0,6.0,2,0,2020-10-28T00:00:00
303,Santa Cruz,2836.0,25.0,21,0,2020-10-28T00:00:00
304,Modoc,31.0,0.0,0,0,2020-10-28T00:00:00
305,Marin,7079.0,127.0,9,0,2020-10-28T00:00:00
306,San Luis Obispo,4197.0,32.0,49,0,2020-10-28T00:00:00
307,Lassen,771.0,1.0,7,0,2020-10-28T00:00:00
308,Humboldt,559.0,10.0,0,0,2020-10-28T00:00:00
309,Nevada,629.0,8.0,7,0,2020-10-28T00:00:00
310,Kern,33424.0,420.0,96,0,2020-10-28T00:00:00
311,Out Of Country,0.0,0.0,0,0,2020-10-28T00:00:00
312,Napa,1998.0,16.0,19,0,2020-10-28T00:00:00
313,Placer,4236.0,57.0,39,0,2020-10-28T00:00:00
314,Plumas,67.0,0.0,4,0,2020-10-28T00:00:00
315,Stanislaus,17765.0,399.0,45,1,2020-10-28T00:00:00
316,Imperial,12730.0,336.0,50,0,2020-10-28T00:00:00
317,Santa Clara,24503.0,402.0,135,10,2020-10-28T00:00:00
318,Trinity,28.0,0.0,0,0,2020-10-28T00:00:00
319,Merced,9480.0,155.0,31,0,2020-10-28T00:00:00
320,Riverside,67003.0,1305.0,304,2,2020-10-28T00:00:00
321,Ventura,14409.0,166.0,62,1,2020-10-28T00:00:00
322,Sierra,6.0,0.0,0,0,2020-10-28T00:00:00
323,Monterey,11330.0,92.0,69,1,2020-10-28T00:00:00
324,Mariposa,78.0,2.0,0,0,2020-10-28T00:00:00
325,Mendocino,1037.0,21.0,4,0,2020-10-28T00:00:00
326,Orange,58801.0,1467.0,251,13,2020-10-28T00:00:00
327,Lake,700.0,16.0,0,0,2020-10-28T00:00:00
328,San Francisco,12261.0,145.0,43,5,2020-10-28T00:00:00
329,Unassigned,2.0,0.0,0,0,2020-10-28T00:00:00
330,Solano,7362.0,76.0,64,0,2020-10-28T00:00:00
331,Sutter,1840.0,12.0,8,0,2020-10-28T00:00:00
332,San Bernardino,62778.0,1073.0,421,0,2020-10-28T00:00:00
333,Tehama,921.0,9.0,8,0,2020-10-28T00:00:00
334,Butte,3134.0,53.0,27,1,2020-10-28T00:00:00
335,Santa Barbara,9872.0,126.0,-2,0,2020-10-28T00:00:00
336,Amador,337.0,16.0,2,0,2020-10-28T00:00:00
337,Alameda,23468.0,462.0,103,0,2020-10-28T00:00:00
