county_id,county_name,confirmed_cases,new_confirmed_cases,deaths,new_deaths,date
55,Napa,1766,8,12,0,2020-10-06
57,Nevada,553,3,7,0,2020-10-06
59,Orange,54898,138,1289,2,2020-10-06
61,Placer,3694,10,51,2,2020-10-06
63,Plumas,52,0,0,0,2020-10-06
65,Riverside,60867,129,1244,6,2020-10-06
67,Sacramento,23363,118,437,5,2020-10-06
69,San Benito,1371,4,12,0,2020-10-06
71,San Bernardino,56522,122,966,4,2020-10-06
73,San Diego,48821,161,806,3,2020-10-06
75,San Francisco,11505,25,111,3,2020-10-06
77,San Joaquin,20731,162,472,1,2020-10-06
79,San Luis Obispo,3755,13,31,0,2020-10-06
81,San Mateo,10309,34,154,2,2020-10-06
83,Santa Barbara,9340,21,115,0,2020-10-06
85,Santa Clara,21978,52,347,2,2020-10-06
87,Santa Cruz,2527,8,14,2,2020-10-06
89,Shasta,1158,0,22,0,2020-10-06
91,Sierra,6,0,0,0,2020-10-06
93,Siskiyou,171,0,0,0,2020-10-06
95,Solano,6624,23,72,0,2020-10-06
97,Sonoma,8037,97,122,0,2020-10-06
99,Stanislaus,16767,8,377,3,2020-10-06
101,Sutter,1767,4,12,0,2020-10-06
103,Tehama,643,25,7,0,2020-10-06
105,Trinity,19,0,0,0,2020-10-06
107,Tulare,16607,117,265,0,2020-10-06
109,Tuolumne,233,0,4,0,2020-10-06
111,Ventura,13065,20,154,0,2020-10-06
113,Yolo,2903,10,56,0,2020-10-06
115,Yuba,1211,4,10,0,2020-10-06
1,Alameda,21746,38,425,0,2020-10-05
3,Alpine,3,1,0,0,2020-10-05
5,Amador,264,5,15,0,2020-10-05
7,Butte,2874,34,45,0,2020-10-05
9,Calaveras,324,0,14,0,2020-10-05
11,Colusa,539,1,6,0,2020-10-05
13,Contra Costa,17322,59,213,1,2020-10-05
15,Del Norte,152,6,1,0,2020-10-05
17,El Dorado,1207,27,4,0,2020-10-05
19,Fresno,29022,47,399,0,2020-10-05
21,Glenn,609,6,3,0,2020-10-05
23,Humboldt,522,4,8,0,2020-10-05
25,Imperial,12076,29,326,0,2020-10-05
27,Inyo,197,6,15,0,2020-10-05
29,Kern,32522,31,386,0,2020-10-05
31,Kings,7919,7,82,0,2020-10-05
33,Lake,593,12,12,1,2020-10-05
